STT,Biệt dược,SĐK,Hoạt chất,Chỉ định nguồn,Thuật ngữ gợi ý,Mã ICD-10,Tên ICD-10 chính thức,Cảnh báo mã
237,Procoralan 7.5mg BVVT-26,VN-21894-19,Ivabradin,"Đau thắt ngực ổn định ở nhịp xoang khi không dung nạp beta-blocker; suy tim mạn phân suất tống máu giảm, nhịp xoang và tần số tim còn cao theo tiêu chuẩn",Đau thắt ngực,I20.9,"Cơn đau thắt ngực, không xác định",
237,Procoralan 7.5mg BVVT-26,VN-21894-19,Ivabradin,"Đau thắt ngực ổn định ở nhịp xoang khi không dung nạp beta-blocker; suy tim mạn phân suất tống máu giảm, nhịp xoang và tần số tim còn cao theo tiêu chuẩn",Suy tim,I50.9,"Suy tim, không xác định",
238,Reamberin 400ml,VN-19527-15,Meglumin natri succinat,Dung dịch hỗ trợ giải độc/chống oxy hóa và điều chỉnh rối loạn chuyển hóa trong một số tình trạng nặng theo HDSD,"Rối loạn chuyển hóa, không xác định",E88.9,"Rối loạn chuyển hóa, không xác định",
238,Reamberin 400ml,VN-19527-15,Meglumin natri succinat,Dung dịch hỗ trợ giải độc/chống oxy hóa và điều chỉnh rối loạn chuyển hóa trong một số tình trạng nặng theo HDSD,"Ngộ độc/điều trị giải độc, chưa xác định tác nhân",T65.9,Tác động độc hại của chất không xác định,
239,Rocuronium 50mg,VD-35273-21,Rocuronium,"Tạo giãn cơ trong đặt nội khí quản, phẫu thuật và thông khí cơ học",Chăm sóc liên quan gây mê/đặt nội khí quản,Z51.4,"Chăm sóc chuẩn bị cho điều trị tiếp theo, không phân loại mục khác",
239,Rocuronium 50mg,VD-35273-21,Rocuronium,"Tạo giãn cơ trong đặt nội khí quản, phẫu thuật và thông khí cơ học",Phụ thuộc máy thở,Z99.1,Tình trạng phụ thuộc vào máy thở,
240,Salbuvin,893115282424,Salbutamol,Cắt cơn co thắt phế quản trong hen/COPD; dự phòng co thắt do gắng sức; tăng kali máu dùng khí dung liều cao như biện pháp hỗ trợ,Tăng kali máu,E87.5,Tăng kali máu,
240,Salbuvin,893115282424,Salbutamol,Cắt cơn co thắt phế quản trong hen/COPD; dự phòng co thắt do gắng sức; tăng kali máu dùng khí dung liều cao như biện pháp hỗ trợ,Hen phế quản,J45.9,"Hen phế quản [hen suyễn] [hen], không xác định",
240,Salbuvin,893115282424,Salbutamol,Cắt cơn co thắt phế quản trong hen/COPD; dự phòng co thắt do gắng sức; tăng kali máu dùng khí dung liều cao như biện pháp hỗ trợ,Bệnh phổi tắc nghẽn mạn tính,J44.9,"Bệnh phổi tắc nghẽn mạn tính, không xác định",
241,Seduxen 5mg,599112027923,Diazepam,Điều trị ngắn hạn lo âu nặng; co thắt cơ; trạng thái động kinh/co giật cấp; tiền mê; cai rượu,Động kinh,G40.9,"Bệnh động kinh, không xác định",
241,Seduxen 5mg,599112027923,Diazepam,Điều trị ngắn hạn lo âu nặng; co thắt cơ; trạng thái động kinh/co giật cấp; tiền mê; cai rượu,Co giật,R56.8,Co giật khác và/hoặc không xác định,
241,Seduxen 5mg,599112027923,Diazepam,Điều trị ngắn hạn lo âu nặng; co thắt cơ; trạng thái động kinh/co giật cấp; tiền mê; cai rượu,Trạng thái động kinh,G41.9,"Trạng thái động kinh, không xác định",
241,Seduxen 5mg,599112027923,Diazepam,Điều trị ngắn hạn lo âu nặng; co thắt cơ; trạng thái động kinh/co giật cấp; tiền mê; cai rượu,Rối loạn lo âu,F41.9,"Rối loạn lo âu, không xác định",
241,Seduxen 5mg,599112027923,Diazepam,Điều trị ngắn hạn lo âu nặng; co thắt cơ; trạng thái động kinh/co giật cấp; tiền mê; cai rượu,Cai rượu,F10.3,"Rối loạn tâm thần và/hoặc hành vi do sử dụng rượu, trạng thái cai",
241,Seduxen 5mg,599112027923,Diazepam,Điều trị ngắn hạn lo âu nặng; co thắt cơ; trạng thái động kinh/co giật cấp; tiền mê; cai rượu,Co thắt cơ,M62.8,Rối loạn xác định khác của cơ,Có mã 4/5 ký tự cụ thể hơn
241,Seduxen 5mg,599112027923,Diazepam,Điều trị ngắn hạn lo âu nặng; co thắt cơ; trạng thái động kinh/co giật cấp; tiền mê; cai rượu,Chăm sóc liên quan gây tê/gây mê/thủ thuật,Z51.4,"Chăm sóc chuẩn bị cho điều trị tiếp theo, không phân loại mục khác",
242,Sevoflurane 250ml,VN-18162-14,Sevofluran,Khởi mê và duy trì gây mê toàn thân ở người lớn và trẻ em,Chăm sóc liên quan gây mê,Z51.4,"Chăm sóc chuẩn bị cho điều trị tiếp theo, không phân loại mục khác",
243,Simethicone Stella,VD-25986-16,Simethicon,"Giảm triệu chứng đầy hơi, chướng bụng do khí; hỗ trợ chuẩn bị chẩn đoán hình ảnh tiêu hóa",Đầy hơi/chướng bụng,R14,Đầy hơi và/hoặc tình trạng liên quan,
243,Simethicone Stella,VD-25986-16,Simethicon,"Giảm triệu chứng đầy hơi, chướng bụng do khí; hỗ trợ chuẩn bị chẩn đoán hình ảnh tiêu hóa",Khám/chẩn đoán hình ảnh,Z01.8,Khám chuyên khoa xác định khác,
244,Smoflipid,123,Nhũ dịch lipid truyền tĩnh mạch,Cung cấp năng lượng và acid béo thiết yếu trong dinh dưỡng ngoài đường tiêu hóa,Suy dinh dưỡng,E46,Suy dinh dưỡng do thiếu protein - năng lượng không xác định,
245,Solezol,520110519424,Esomeprazol,"GERD, viêm/loét dạ dày-tá tràng, diệt H. pylori phối hợp, dự phòng loét do NSAID, xuất huyết tiêu hóa",GERD,K21.9,Bệnh trào ngược dạ dày - thực quản không kèm viêm thực quản,
245,Solezol,520110519424,Esomeprazol,"GERD, viêm/loét dạ dày-tá tràng, diệt H. pylori phối hợp, dự phòng loét do NSAID, xuất huyết tiêu hóa",Loét dạ dày,K25.9,"Loét dạ dày, không xác định mạn tính hoặc cấp tính, không xuất huyết hoặc thủng",
245,Solezol,520110519424,Esomeprazol,"GERD, viêm/loét dạ dày-tá tràng, diệt H. pylori phối hợp, dự phòng loét do NSAID, xuất huyết tiêu hóa",Loét tá tràng,K26.9,"Loét tá tràng, không xác định mạn tính hoặc cấp tính, không xuất huyết hoặc thủng",
245,Solezol,520110519424,Esomeprazol,"GERD, viêm/loét dạ dày-tá tràng, diệt H. pylori phối hợp, dự phòng loét do NSAID, xuất huyết tiêu hóa",Viêm dạ dày,K29.7,"Viêm dạ dày, không xác định",
245,Solezol,520110519424,Esomeprazol,"GERD, viêm/loét dạ dày-tá tràng, diệt H. pylori phối hợp, dự phòng loét do NSAID, xuất huyết tiêu hóa",Xuất huyết tiêu hóa,K92.2,"Xuất huyết tiêu hóa [phân đen], không xác định",
245,Solezol,520110519424,Esomeprazol,"GERD, viêm/loét dạ dày-tá tràng, diệt H. pylori phối hợp, dự phòng loét do NSAID, xuất huyết tiêu hóa",Nhiễm Helicobacter pylori,B98.0,Vi khuẩn Helicobacter pylori [H.pylori] là nguyên nhân gây bệnh phân loại ở chương khác,Không dùng làm bệnh chính
246,Sorbitol 3%,VD-18005-12,Sorbitol,Táo bón; chất tạo ngọt/tá dược; dung dịch rửa trong một số thủ thuật tiết niệu tùy chế phẩm,Táo bón,K59.0,Táo bón,
247,Sorbitol 5g,893100426724,Sorbitol,Táo bón; chất tạo ngọt/tá dược; dung dịch rửa trong một số thủ thuật tiết niệu tùy chế phẩm,Táo bón,K59.0,Táo bón,
248,Spulit,VN-19599-16,Itraconazol,"Nấm da, móng, niêm mạc; histoplasma, aspergillus hoặc nấm toàn thân khi phù hợp",Nhiễm Aspergillus,B44.9,"Bệnh nhiễm nấm aspergillus, không xác định",
248,Spulit,VN-19599-16,Itraconazol,"Nấm da, móng, niêm mạc; histoplasma, aspergillus hoặc nấm toàn thân khi phù hợp",Histoplasmosis,B39.9,"Bệnh nhiễm nấm histoplasma, không xác định",
248,Spulit,VN-19599-16,Itraconazol,"Nấm da, móng, niêm mạc; histoplasma, aspergillus hoặc nấm toàn thân khi phù hợp",Nấm da,B35.9,"Bệnh da do nấm sợi, không xác định",
249,Stiprol,893100092424,Glycerol,Táo bón ngắn hạn; làm rỗng trực tràng trước thủ thuật,Táo bón,K59.0,Táo bón,
249,Stiprol,893100092424,Glycerol,Táo bón ngắn hạn; làm rỗng trực tràng trước thủ thuật,Chăm sóc liên quan gây tê/gây mê/thủ thuật,Z51.4,"Chăm sóc chuẩn bị cho điều trị tiếp theo, không phân loại mục khác",
250,Sữa Enfamil A+Lactofrbe,Không có SĐK thuốc – sản phẩm dinh dưỡng công thức,Sữa công thức dinh dưỡng,Dinh dưỡng công thức cho trẻ nhỏ hoặc trẻ sinh non khi sữa mẹ không đủ/không thể sử dụng,Buồn nôn/nôn,R11,Buồn nôn và/hoặc nôn,
250,Sữa Enfamil A+Lactofrbe,Không có SĐK thuốc – sản phẩm dinh dưỡng công thức,Sữa công thức dinh dưỡng,Dinh dưỡng công thức cho trẻ nhỏ hoặc trẻ sinh non khi sữa mẹ không đủ/không thể sử dụng,Trẻ sinh non,P07.3,Trẻ sinh non khác,
250,Sữa Enfamil A+Lactofrbe,Không có SĐK thuốc – sản phẩm dinh dưỡng công thức,Sữa công thức dinh dưỡng,Dinh dưỡng công thức cho trẻ nhỏ hoặc trẻ sinh non khi sữa mẹ không đủ/không thể sử dụng,Khó khăn nuôi dưỡng trẻ sơ sinh,P92.9,"Rối loạn ăn uông ở trẻ sơ sinh, không xác định",
251,Sữa Enfamil A+Premature,Không có SĐK thuốc – sản phẩm dinh dưỡng công thức,Sữa công thức dinh dưỡng,Dinh dưỡng công thức cho trẻ nhỏ hoặc trẻ sinh non khi sữa mẹ không đủ/không thể sử dụng,Buồn nôn/nôn,R11,Buồn nôn và/hoặc nôn,
251,Sữa Enfamil A+Premature,Không có SĐK thuốc – sản phẩm dinh dưỡng công thức,Sữa công thức dinh dưỡng,Dinh dưỡng công thức cho trẻ nhỏ hoặc trẻ sinh non khi sữa mẹ không đủ/không thể sử dụng,Trẻ sinh non,P07.3,Trẻ sinh non khác,
251,Sữa Enfamil A+Premature,Không có SĐK thuốc – sản phẩm dinh dưỡng công thức,Sữa công thức dinh dưỡng,Dinh dưỡng công thức cho trẻ nhỏ hoặc trẻ sinh non khi sữa mẹ không đủ/không thể sử dụng,Khó khăn nuôi dưỡng trẻ sơ sinh,P92.9,"Rối loạn ăn uông ở trẻ sơ sinh, không xác định",
252,Suprane,VN-17261-13,Desfluran,Khởi mê chọn lọc ở người lớn và duy trì gây mê toàn thân,Chăm sóc liên quan gây mê,Z51.4,"Chăm sóc chuẩn bị cho điều trị tiếp theo, không phân loại mục khác",
253,Takizd,VD-34815-20,Furosemid,"Phù do suy tim, bệnh gan hoặc thận; phù phổi cấp; tăng huyết áp có quá tải thể tích",Tăng huyết áp,I10,Bệnh tăng huyết áp vô căn (nguyên phát),
253,Takizd,VD-34815-20,Furosemid,"Phù do suy tim, bệnh gan hoặc thận; phù phổi cấp; tăng huyết áp có quá tải thể tích",Suy tim,I50.9,"Suy tim, không xác định",
253,Takizd,VD-34815-20,Furosemid,"Phù do suy tim, bệnh gan hoặc thận; phù phổi cấp; tăng huyết áp có quá tải thể tích",Phù nề,R60.9,"Phù, không xác định",
254,Takizd,VD-34815-20,Furosemid,"Phù do suy tim, bệnh gan hoặc thận; phù phổi cấp; tăng huyết áp có quá tải thể tích",Tăng huyết áp,I10,Bệnh tăng huyết áp vô căn (nguyên phát),
254,Takizd,VD-34815-20,Furosemid,"Phù do suy tim, bệnh gan hoặc thận; phù phổi cấp; tăng huyết áp có quá tải thể tích",Suy tim,I50.9,"Suy tim, không xác định",
254,Takizd,VD-34815-20,Furosemid,"Phù do suy tim, bệnh gan hoặc thận; phù phổi cấp; tăng huyết áp có quá tải thể tích",Phù nề,R60.9,"Phù, không xác định",
255,Tamisynt 500mg,893615262423,Ciprofloxacin,"Nhiễm khuẩn Gram âm nhạy cảm, tiết niệu-phức tạp, tiêu hóa, xương khớp, Pseudomonas và bệnh than; không ưu tiên cho viêm phổi cộng đồng do phế cầu",Viêm phổi,J18.9,"Viêm phổi, không xác định",
255,Tamisynt 500mg,893615262423,Ciprofloxacin,"Nhiễm khuẩn Gram âm nhạy cảm, tiết niệu-phức tạp, tiêu hóa, xương khớp, Pseudomonas và bệnh than; không ưu tiên cho viêm phổi cộng đồng do phế cầu",Viêm xương tủy,M86.9,"Viêm xương tủy, không xác định",Có mã 4/5 ký tự cụ thể hơn
255,Tamisynt 500mg,893615262423,Ciprofloxacin,"Nhiễm khuẩn Gram âm nhạy cảm, tiết niệu-phức tạp, tiêu hóa, xương khớp, Pseudomonas và bệnh than; không ưu tiên cho viêm phổi cộng đồng do phế cầu",Nhiễm khuẩn tiết niệu,N39.0,"Nhiễm trùng đường tiết niệu, vị trí không xác định",
255,Tamisynt 500mg,893615262423,Ciprofloxacin,"Nhiễm khuẩn Gram âm nhạy cảm, tiết niệu-phức tạp, tiêu hóa, xương khớp, Pseudomonas và bệnh than; không ưu tiên cho viêm phổi cộng đồng do phế cầu",Bệnh than,A22.9,"Bệnh than, không xác định",
256,Tanganil 500mg,VN-22534-20,Acetylleucin,Điều trị triệu chứng cơn chóng mặt do nhiều nguyên nhân sau khi đã đánh giá nguyên nhân,Chóng mặt,R42,Hoa mắt và/hoặc chóng mặt,
257,"Tazopelin 4,5g",VD-20673-14,Piperacilin + tazobactam,"Nhiễm khuẩn nặng hô hấp, ổ bụng, tiết niệu, da-mô mềm, huyết và sốt giảm bạch cầu do vi khuẩn nhạy cảm",Viêm phúc mạc/nhiễm khuẩn ổ bụng,K65.9,"Viêm phúc mạc, không xác định",
257,"Tazopelin 4,5g",VD-20673-14,Piperacilin + tazobactam,"Nhiễm khuẩn nặng hô hấp, ổ bụng, tiết niệu, da-mô mềm, huyết và sốt giảm bạch cầu do vi khuẩn nhạy cảm",Nhiễm khuẩn tiết niệu,N39.0,"Nhiễm trùng đường tiết niệu, vị trí không xác định",
257,"Tazopelin 4,5g",VD-20673-14,Piperacilin + tazobactam,"Nhiễm khuẩn nặng hô hấp, ổ bụng, tiết niệu, da-mô mềm, huyết và sốt giảm bạch cầu do vi khuẩn nhạy cảm",Nhiễm khuẩn huyết,A41.9,"Nhiễm trùng hệ thống, không xác định",
257,"Tazopelin 4,5g",VD-20673-14,Piperacilin + tazobactam,"Nhiễm khuẩn nặng hô hấp, ổ bụng, tiết niệu, da-mô mềm, huyết và sốt giảm bạch cầu do vi khuẩn nhạy cảm",Nhiễm khuẩn da và mô mềm,L08.9,"Nhiễm trùng khu trú ở da và/hoặc mô dưới da, không xác định",
257,"Tazopelin 4,5g",VD-20673-14,Piperacilin + tazobactam,"Nhiễm khuẩn nặng hô hấp, ổ bụng, tiết niệu, da-mô mềm, huyết và sốt giảm bạch cầu do vi khuẩn nhạy cảm",Sốt,R50.9,"Sốt, không xác định",
258,Telmida 40,840110117624,Telmisartan,Tăng huyết áp; giảm nguy cơ tim mạch ở người nguy cơ cao khi phù hợp,Tăng huyết áp,I10,Bệnh tăng huyết áp vô căn (nguyên phát),
259,Tenamyd-Cefotaxime 1000,VD-19443-13,Cefotaxim,"Nhiễm khuẩn nặng đường hô hấp, tiết niệu, ổ bụng, da-mô mềm, huyết, xương khớp, viêm màng não và nhiễm khuẩn sản khoa",Viêm xương tủy,M86.9,"Viêm xương tủy, không xác định",Có mã 4/5 ký tự cụ thể hơn
259,Tenamyd-Cefotaxime 1000,VD-19443-13,Cefotaxim,"Nhiễm khuẩn nặng đường hô hấp, tiết niệu, ổ bụng, da-mô mềm, huyết, xương khớp, viêm màng não và nhiễm khuẩn sản khoa",Viêm phúc mạc/nhiễm khuẩn ổ bụng,K65.9,"Viêm phúc mạc, không xác định",
259,Tenamyd-Cefotaxime 1000,VD-19443-13,Cefotaxim,"Nhiễm khuẩn nặng đường hô hấp, tiết niệu, ổ bụng, da-mô mềm, huyết, xương khớp, viêm màng não và nhiễm khuẩn sản khoa",Nhiễm khuẩn tiết niệu,N39.0,"Nhiễm trùng đường tiết niệu, vị trí không xác định",
259,Tenamyd-Cefotaxime 1000,VD-19443-13,Cefotaxim,"Nhiễm khuẩn nặng đường hô hấp, tiết niệu, ổ bụng, da-mô mềm, huyết, xương khớp, viêm màng não và nhiễm khuẩn sản khoa",Nhiễm khuẩn sản khoa/hậu sản,O85,Nhiễm trùng hệ thống trong thời kỳ sau đẻ,Mã chỉ/chủ yếu ở nữ
259,Tenamyd-Cefotaxime 1000,VD-19443-13,Cefotaxim,"Nhiễm khuẩn nặng đường hô hấp, tiết niệu, ổ bụng, da-mô mềm, huyết, xương khớp, viêm màng não và nhiễm khuẩn sản khoa",Nhiễm khuẩn huyết,A41.9,"Nhiễm trùng hệ thống, không xác định",
259,Tenamyd-Cefotaxime 1000,VD-19443-13,Cefotaxim,"Nhiễm khuẩn nặng đường hô hấp, tiết niệu, ổ bụng, da-mô mềm, huyết, xương khớp, viêm màng não và nhiễm khuẩn sản khoa",Nhiễm khuẩn da và mô mềm,L08.9,"Nhiễm trùng khu trú ở da và/hoặc mô dưới da, không xác định",
259,Tenamyd-Cefotaxime 1000,VD-19443-13,Cefotaxim,"Nhiễm khuẩn nặng đường hô hấp, tiết niệu, ổ bụng, da-mô mềm, huyết, xương khớp, viêm màng não và nhiễm khuẩn sản khoa",Viêm màng não do vi khuẩn,G00.9,"Bệnh viêm màng não vi khuẩn, không xác định",
260,Terpin - Codein HD,VD-32105-19,Codein phosphat + terpin hydrat,"Giảm ho khan, ho kích thích ở người lớn khi biện pháp không dùng thuốc không đủ",Ho,R05,Ho,
261,Terpin - Codein HD,893101855424,Codein phosphat + terpin hydrat,"Giảm ho khan, ho kích thích ở người lớn khi biện pháp không dùng thuốc không đủ",Ho,R05,Ho,
262,Theresol,VD-20942-14,Natri clorid + kali clorid + natri citrat + glucose khan (ORS),"Bù nước và điện giải đường uống trong tiêu chảy cấp, nôn hoặc mất nước nhẹ–vừa khi người bệnh còn uống được. | Dự phòng mất nước tiếp diễn theo phác đồ điều trị tiêu chảy.",Tiêu chảy,A09,Viêm dạ dày - ruột và/hoặc đại tràng do nhiễm trùng và/hoặc không xác định căn nguyên,Có mã 4/5 ký tự cụ thể hơn
262,Theresol,VD-20942-14,Natri clorid + kali clorid + natri citrat + glucose khan (ORS),"Bù nước và điện giải đường uống trong tiêu chảy cấp, nôn hoặc mất nước nhẹ–vừa khi người bệnh còn uống được. | Dự phòng mất nước tiếp diễn theo phác đồ điều trị tiêu chảy.",Mất nước/giảm thể tích,E86,Giảm thể tích,
262,Theresol,VD-20942-14,Natri clorid + kali clorid + natri citrat + glucose khan (ORS),"Bù nước và điện giải đường uống trong tiêu chảy cấp, nôn hoặc mất nước nhẹ–vừa khi người bệnh còn uống được. | Dự phòng mất nước tiếp diễn theo phác đồ điều trị tiêu chảy.",Buồn nôn/nôn,R11,Buồn nôn và/hoặc nôn,
263,Thyperopa forte,VD-26833-17,Methyldopa,"Tăng huyết áp, đặc biệt tăng huyết áp trong thai kỳ",Tăng huyết áp thai kỳ,O13,Tăng huyết áp thai kỳ [do mang thai gây ra],Mã chỉ/chủ yếu ở nữ
263,Thyperopa forte,VD-26833-17,Methyldopa,"Tăng huyết áp, đặc biệt tăng huyết áp trong thai kỳ",Tăng huyết áp thai kỳ,O16,Tăng huyết áp thai sản không xác định,Mã chỉ/chủ yếu ở nữ
264,TPDD Fomeal Basic Soup,35/OGL/2020,Hỗn hợp 18 acid amin,Dinh dưỡng đường tiêu hóa khi ăn thông thường không đủ nhưng đường tiêu hóa còn hoạt động,Suy dinh dưỡng,E46,Suy dinh dưỡng do thiếu protein - năng lượng không xác định,
265,TPDD Fomeal Peptides,Không có SĐK thuốc – thực phẩm dinh dưỡng y học,Thực phẩm dinh dưỡng y học dạng peptide,Dinh dưỡng peptide cho người tiêu hóa/hấp thu kém hoặc cần công thức dễ hấp thu,Suy dinh dưỡng,E46,Suy dinh dưỡng do thiếu protein - năng lượng không xác định,
266,TPDD Leisure preop,Không có SĐK thuốc – thực phẩm dinh dưỡng trước phẫu thuật,Dung dịch carbohydrate tiền phẫu,"Nạp carbohydrate trước mổ nhằm giảm khát, đói và đề kháng insulin trong chương trình phục hồi sớm",Chăm sóc chuẩn bị trước phẫu thuật,Z51.4,"Chăm sóc chuẩn bị cho điều trị tiếp theo, không phân loại mục khác",
267,TRIPLIXAM 5mg/1.25mg/5mg,VN3-11-17,"Perindopril arginin 5 mg + indapamid 1,25 mg + amlodipin 5 mg","Điều trị thay thế tăng huyết áp ở người bệnh đã được kiểm soát bằng perindopril, indapamid và amlodipin dùng đồng thời với cùng mức liều.",Tăng huyết áp,I10,Bệnh tăng huyết áp vô căn (nguyên phát),
268,Unasyn,VN-20843-17,Ampicilin + sulbactam,"Nhiễm khuẩn hô hấp, tiết niệu, da-mô mềm, ổ bụng, phụ khoa và nhiễm khuẩn hỗn hợp do vi khuẩn nhạy cảm","Nhiễm khuẩn hô hấp dưới, chưa xác định vị trí",J22,Nhiễm trùng hô hấp dưới cấp tính không xác định,
268,Unasyn,VN-20843-17,Ampicilin + sulbactam,"Nhiễm khuẩn hô hấp, tiết niệu, da-mô mềm, ổ bụng, phụ khoa và nhiễm khuẩn hỗn hợp do vi khuẩn nhạy cảm",Viêm phúc mạc/nhiễm khuẩn ổ bụng,K65.9,"Viêm phúc mạc, không xác định",
268,Unasyn,VN-20843-17,Ampicilin + sulbactam,"Nhiễm khuẩn hô hấp, tiết niệu, da-mô mềm, ổ bụng, phụ khoa và nhiễm khuẩn hỗn hợp do vi khuẩn nhạy cảm",Nhiễm khuẩn tiết niệu,N39.0,"Nhiễm trùng đường tiết niệu, vị trí không xác định",
268,Unasyn,VN-20843-17,Ampicilin + sulbactam,"Nhiễm khuẩn hô hấp, tiết niệu, da-mô mềm, ổ bụng, phụ khoa và nhiễm khuẩn hỗn hợp do vi khuẩn nhạy cảm",Viêm vùng chậu/phụ khoa,N73.9,"Bệnh viêm tiểu khung ở nữ giới, không xác định",Mã chỉ/chủ yếu ở nữ
268,Unasyn,VN-20843-17,Ampicilin + sulbactam,"Nhiễm khuẩn hô hấp, tiết niệu, da-mô mềm, ổ bụng, phụ khoa và nhiễm khuẩn hỗn hợp do vi khuẩn nhạy cảm",Nhiễm khuẩn da và mô mềm,L08.9,"Nhiễm trùng khu trú ở da và/hoặc mô dưới da, không xác định",
269,Đường Glucose,01/CTLL/2021,Glucose (thực phẩm bảo vệ sức khỏe),Bổ sung năng lượng hoặc xử trí ban đầu hạ đường huyết nhẹ ở người còn tỉnh và nuốt được,Hạ đường huyết,E16.2,"Hạ đường huyết, không xác định",
270,Utrogestan 200mg,VN-19020-15,Progesteron,"Bổ sung progesteron trong hỗ trợ sinh sản, suy hoàng thể và một số tình trạng sản khoa",Vô sinh nữ/không phóng noãn,N97.9,"Vô sinh ở nữ giới, không xác định",Mã chỉ/chủ yếu ở nữ
271,Valsarfast 80mg film coated tablets,383110417023,Valsartan,Tăng huyết áp; suy tim | điều trị sau nhồi máu cơ tim ở bệnh nhân phù hợp,Tăng huyết áp,I10,Bệnh tăng huyết áp vô căn (nguyên phát),
271,Valsarfast 80mg film coated tablets,383110417023,Valsartan,Tăng huyết áp; suy tim | điều trị sau nhồi máu cơ tim ở bệnh nhân phù hợp,Nhồi máu cơ tim,I21.9,"Nhồi máu cơ tim cấp tính, không xác định",
271,Valsarfast 80mg film coated tablets,383110417023,Valsartan,Tăng huyết áp; suy tim | điều trị sau nhồi máu cơ tim ở bệnh nhân phù hợp,Tiền sử nhồi máu cơ tim,I25.2,Nhồi máu cơ tim cũ,
271,Valsarfast 80mg film coated tablets,383110417023,Valsartan,Tăng huyết áp; suy tim | điều trị sau nhồi máu cơ tim ở bệnh nhân phù hợp,Suy tim,I50.9,"Suy tim, không xác định",
272,Vaminolact,VN-19468-15,Dinh dưỡng tĩnh mạch: acid amin + glucose + lipid,Cung cấp acid amin/dinh dưỡng ngoài đường tiêu hóa cho trẻ sơ sinh và trẻ nhỏ khi không thể nuôi ăn đầy đủ,Suy dinh dưỡng,E46,Suy dinh dưỡng do thiếu protein - năng lượng không xác định,
272,Vaminolact,VN-19468-15,Dinh dưỡng tĩnh mạch: acid amin + glucose + lipid,Cung cấp acid amin/dinh dưỡng ngoài đường tiêu hóa cho trẻ sơ sinh và trẻ nhỏ khi không thể nuôi ăn đầy đủ,Khó khăn nuôi dưỡng trẻ sơ sinh,P92.9,"Rối loạn ăn uông ở trẻ sơ sinh, không xác định",
273,Vancomycin 1g,893110375623,Vancomycin,"Nhiễm Gram dương nặng, đặc biệt MRSA; viêm nội tâm mạc, xương khớp, viêm phổi bệnh viện, nhiễm khuẩn huyết | đường uống cho C. difficile",Viêm phổi,J18.9,"Viêm phổi, không xác định",
273,Vancomycin 1g,893110375623,Vancomycin,"Nhiễm Gram dương nặng, đặc biệt MRSA; viêm nội tâm mạc, xương khớp, viêm phổi bệnh viện, nhiễm khuẩn huyết | đường uống cho C. difficile",Nhiễm khuẩn huyết,A41.9,"Nhiễm trùng hệ thống, không xác định",
273,Vancomycin 1g,893110375623,Vancomycin,"Nhiễm Gram dương nặng, đặc biệt MRSA; viêm nội tâm mạc, xương khớp, viêm phổi bệnh viện, nhiễm khuẩn huyết | đường uống cho C. difficile",Viêm nội tâm mạc,I33.0,Viêm nội tâm mạc do nhiễm trùng cấp tính và/hoặc bán cấp tính,
273,Vancomycin 1g,893110375623,Vancomycin,"Nhiễm Gram dương nặng, đặc biệt MRSA; viêm nội tâm mạc, xương khớp, viêm phổi bệnh viện, nhiễm khuẩn huyết | đường uống cho C. difficile",Nhiễm Clostridioides difficile,A04.7,Viêm ruột do vi khuẩn Clostridium difficile,
274,Vancomycin 500mg,893115078524,Vancomycin,"Nhiễm Gram dương nặng, đặc biệt MRSA; viêm nội tâm mạc, xương khớp, viêm phổi bệnh viện, nhiễm khuẩn huyết | đường uống cho C. difficile",Viêm phổi,J18.9,"Viêm phổi, không xác định",
274,Vancomycin 500mg,893115078524,Vancomycin,"Nhiễm Gram dương nặng, đặc biệt MRSA; viêm nội tâm mạc, xương khớp, viêm phổi bệnh viện, nhiễm khuẩn huyết | đường uống cho C. difficile",Nhiễm khuẩn huyết,A41.9,"Nhiễm trùng hệ thống, không xác định",
274,Vancomycin 500mg,893115078524,Vancomycin,"Nhiễm Gram dương nặng, đặc biệt MRSA; viêm nội tâm mạc, xương khớp, viêm phổi bệnh viện, nhiễm khuẩn huyết | đường uống cho C. difficile",Viêm nội tâm mạc,I33.0,Viêm nội tâm mạc do nhiễm trùng cấp tính và/hoặc bán cấp tính,
274,Vancomycin 500mg,893115078524,Vancomycin,"Nhiễm Gram dương nặng, đặc biệt MRSA; viêm nội tâm mạc, xương khớp, viêm phổi bệnh viện, nhiễm khuẩn huyết | đường uống cho C. difficile",Nhiễm Clostridioides difficile,A04.7,Viêm ruột do vi khuẩn Clostridium difficile,
275,Vastarel MR,VN-17735-14,Trimetazidin,Điều trị bổ sung triệu chứng đau thắt ngực ổn định chưa kiểm soát đủ hoặc không dung nạp thuốc hàng đầu,Đau thắt ngực,I20.9,"Cơn đau thắt ngực, không xác định",
276,Vecmid 500mg,VN-22663-20,Vancomycin,"Nhiễm Gram dương nặng, đặc biệt MRSA; viêm nội tâm mạc, xương khớp, viêm phổi bệnh viện, nhiễm khuẩn huyết | đường uống cho C. difficile",Viêm phổi,J18.9,"Viêm phổi, không xác định",
276,Vecmid 500mg,VN-22663-20,Vancomycin,"Nhiễm Gram dương nặng, đặc biệt MRSA; viêm nội tâm mạc, xương khớp, viêm phổi bệnh viện, nhiễm khuẩn huyết | đường uống cho C. difficile",Nhiễm khuẩn huyết,A41.9,"Nhiễm trùng hệ thống, không xác định",
